item,Score2022,n,mean,FORESTC_2000,FORESTC_2022,Area_sqkm,%_area
1,10,4,2.6,5.1,4.7,10.5,0%
3,20,84,14.3,20.0,16.8,1203.0,1%
4,30,253,24.6,37.0,25.9,6211.3,7%
5,40,240,28.0,51.1,34.7,6711.2,7%
6,50,159,26.9,61.8,44.5,4269.6,5%
7,60,121,36.6,70.9,55.1,4425.9,5%
8,70,121,24.5,75.7,64.8,2966.2,3%
9,80,96,31.5,84.0,74.2,3028.4,3%
10,90,82,72.2,90.5,85.1,5922.0,7%
2,100,154,359.0,97.4,96.8,55280.6,61%
